
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t2_r1.5_lm19_tmp3.0                          19   54.1    140    138     13.9       66.6
  t2_r1.125_s0_md33_sn0_lm17                   17   54.2    140    138     13.8       66.7
  t2_r1.375_lm17_tmp3.0                        17   54.9    140    138     13.3       66.9
  t1_r1.375_lm19_tmp3.0                        19   54.1    140    138     14.6       67.3
  t2_r1.375_lm19_tmp3.0                        19   54.1    140    138     14.7       67.4
  t1_r1.5_s0_md33_sn0_lm17                     17   54.7    140    138     14.2       67.5
  t1_r1.375_lm17_tmp3.0                        17   54.1    140    138     14.9       67.5
  t1_r1.75_s0_md33_sn0_lm19                    19   54.1    140    138     15.0       67.6
  t1_r1.125_lm17_tmp3.0                        17   54.9    140    138     14.3       67.8
  t2_r1.5_s0_md33_sn0_lm17                     17   54.1    140    138     15.4       67.9
  t1_r1.5_lm19_tmp3.0                          19   54.1    140    138     15.4       68.0
  t2_r1.25_lm17_tmp3.0                         17   54.1    140    138     15.4       68.0
  t1_r1.625_s0_md33_sn0_lm17                   17   54.1    140    138     15.5       68.1
  t2_r1.75_s0_md33_sn0_lm19                    19   54.1    140    138     15.5       68.1
  t2_r1.625_s0_md33_sn0_lm19                   19   54.7    140    138     14.9       68.1
  t2_r1.125_lm17_tmp3.0                        17   54.1    140    138     15.7       68.2
  t2_r1.375_s0_md33_sn0_lm19                   19   53.9    140    138     16.0       68.2
  t2_r1.25_s0_md33_sn0_lm19                    19   54.9    140    138     14.8       68.2
  t1_r1.125_lm19_tmp3.0                        19   54.1    140    138     16.1       68.6
  t2_r1.25_s0_md33_sn0_lm17                    17   55.2    140    138     14.9       68.6
  t2_r1.75_s0_md33_sn0_lm17                    17   53.9    140    138     16.5       68.7
  t2_r1.5_lm17_tmp3.0                          17   54.1    140    138     16.2       68.7
  t2_r1.375_s0_md33_sn0_lm17                   17   53.9    140    138     16.7       68.9
  t1_r1.125_s0_md33_sn0_lm19                   19   54.9    140    138     15.6       68.9
  t1_r1.625_lm17_tmp3.0                        17   54.1    140    138     16.7       69.1
  t1_r1.25_lm17_tmp3.0                         17   54.1    140    138     16.7       69.1
  t1_r1.25_lm19_tmp3.0                         19   54.1    140    138     17.0       69.4
  t2_r1.625_lm17_tmp3.0                        17   54.1    140    138     17.1       69.5
  t1_r1.625_lm19_tmp3.0                        19   54.1    140    138     17.2       69.5
  t2_r1.125_s0_md33_sn0_lm19                   19   54.8    140    138     16.6       69.7
  t1_r1.5_lm17_tmp3.0                          17   54.1    140    138     17.6       69.9
  t2_r1.5_s0_md33_sn0_lm19                     19   54.1    140    138     17.6       69.9
  t2_r1.75_s0_md33_sn0_lm23                    23   75.9   2115    116     13.7       88.2
  t2_r1.625_lm19_tmp3.0                        19   79.1   2047    136     13.9       91.6

  Winner: t1_r1.375_s0_md33_sn0_lm17
    mean=54.1, max=140 at chord 138, spread=11.7, combined=64.6

==============================================================================
Chorale: bwv257  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.25_s0_md33_sn0_lm19                    19   57.5    140    128     17.0       72.8 <-- BEST
  t1_r1.375_s0_md33_sn0_lm17                   17   57.0    140    128     18.3       73.4
  t1_r1.125_s0_md33_sn0_lm17                   17   57.8    140    128     17.9       73.9
  t1_r1.125_lm17_tmp3.0                        17   57.8    140    128     18.1       74.1
  t1_r1.375_lm17_tmp3.0                        17   57.7    140    128     18.3       74.2
