limit_max,tolerance,rolls,spread,n_trials,mean_score,median_score,min_score,max_score,p10_score,p90_score,score_std,mean_ms,median_ms,p90_ms,max_ms,n_chords
19,4,0,0,1,142.2201138519924,135.0,21.0,222.0,127.0,178.0,0.0,0.03413189024220602,0.027055037207901478,0.049856025725603104,0.48092601355165243,2108
19,4,1,0,1,60.37286527514232,45.0,21.0,170.0,43.0,109.0,0.0,0.9729103463347487,0.4976879572495818,2.6104961289092903,5.322022014297545,2108
19,4,5,0,1,57.83965844402277,45.0,21.0,170.0,43.0,91.0,0.0,2.21836188107076,0.912424991838634,7.1387848118320125,12.633500969968736,2108
19,4,8,0,1,57.83965844402277,45.0,21.0,170.0,43.0,91.0,0.0,2.535158145131872,1.2854979140684009,7.6157359872013375,14.184531988576055,2108
23,1,0,0,1,5228.557874762809,5135.0,3021.0,6222.0,5111.0,6178.0,0.0,0.03383216397257663,0.02741999924182892,0.05036483053117991,0.061747035942971706,2108
23,1,1,0,1,261.0132827324478,45.0,21.0,2163.0,43.0,1112.0,0.0,0.9177571863029935,0.26217103004455566,2.479696087539198,5.048413062468171,2108
23,1,5,0,1,261.0132827324478,45.0,21.0,2163.0,43.0,1112.0,0.0,2.1533882752729476,0.8993879891932011,6.711028469726443,12.355006067082286,2108
23,1,8,0,1,261.0132827324478,45.0,21.0,2163.0,43.0,1112.0,0.0,2.46188986715542,1.3187630102038383,7.285527628846471,12.853184947744012,2108
23,2,0,0,1,2116.1290322580644,2135.0,21.0,6178.0,1127.0,3178.0,0.0,0.03384048396459862,0.02738193143159151,0.050349370576441295,0.08707493543624878,2108
23,2,1,0,1,177.27703984819735,45.0,21.0,2122.0,43.0,161.0,0.0,1.0204391867327107,0.515718013048172,2.6772399898618464,5.390257923863828,2108
23,2,5,0,1,148.32590132827323,45.0,21.0,2102.0,43.0,133.0,0.0,2.2749157537485942,0.9203050285577774,7.153769256547097,13.036172022111714,2108
23,2,8,0,1,148.32590132827323,45.0,21.0,2102.0,43.0,133.0,0.0,2.5842979510950923,1.3375359121710062,7.715938170440496,13.439149013720453,2108
23,3,0,0,1,1918.785578747628,2135.0,21.0,5215.0,1101.0,2178.0,0.0,0.033553595943119276,0.026916968636214733,0.04984983243048191,0.12086506467312574,2108
23,3,1,0,1,104.34297912713473,45.0,21.0,2083.0,43.0,104.0,0.0,1.0283413541023614,0.518523040227592,2.7095410041511077,5.437548970803618,2108
23,3,5,0,1,99.77703984819735,45.0,21.0,2059.0,43.0,95.0,0.0,2.261839821288476,0.9192780125886202,7.1428016293793934,13.065346982330084,2108
23,3,8,0,1,99.77703984819735,45.0,21.0,2059.0,43.0,95.0,0.0,2.5764909621254324,1.3636440271511674,7.660493208095441,13.725496944971383,2108
23,4,0,0,1,142.2201138519924,135.0,21.0,222.0,127.0,178.0,0.0,0.03348639327697322,0.02691592089831829,0.04946840927004815,0.13541302178055048,2108
23,4,1,0,1,58.52229601518027,45.0,21.0,170.0,43.0,94.0,0.0,1.024187325599457,0.5318000912666321,2.734213415533304,5.661831935867667,2108
23,4,5,0,1,56.646584440227706,45.0,21.0,170.0,43.0,91.0,0.0,2.2760303471615315,0.9322080295532942,7.304076151922347,13.462904025800526,2108
23,4,8,0,1,56.646584440227706,45.0,21.0,170.0,43.0,91.0,0.0,2.5686204790094105,1.3209780445322394,7.615899946540594,14.561939984560013,2108
