
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t1_r1.375_lm19_tmp3.0                        19   59.4    140    128     19.0       76.6
  t1_r1.25_s0_md33_sn0_lm17                    17   57.5    140    128     21.3       76.6
  t1_r1.625_s0_md33_sn0_lm19                   19   57.8    140    128     21.1       76.8
  t1_r1.125_s0_md33_sn0_lm17                   17   57.8    140    128     22.3       77.8
  t1_r1.5_lm17_tmp3.0                          17   57.8    140    128     22.5       78.0
  t1_r1.625_lm19_tmp3.0                        19   57.8    140    128     22.5       78.0
  t1_r1.375_lm17_tmp3.0                        17   57.7    140    128     22.8       78.2
  t1_r1.25_lm19_tmp3.0                         19   58.2    140    128     22.4       78.4
  t1_r1.5_s0_md33_sn0_lm17                     17   57.5    140    128     23.8       78.9
  t1_r1.625_lm17_tmp3.0                        17   59.8    140    128     21.6       79.2
  t1_r1.5_lm19_tmp3.0                          19   61.5    160     24     21.1       80.4
  t1_r1.75_s0_md33_sn0_lm19                    19   58.6    145    128     24.4       80.6
  t1_r1.125_s0_md33_sn0_lm19                   19   70.5   1067     12     22.2       90.5
  t2_r1.5_s0_md33_sn0_lm17                     17   81.8   1123    128     21.4      101.0
  t2_r1.375_s0_md33_sn0_lm17                   17   81.8   1123    128     21.6      101.2
  t2_r1.25_s0_md33_sn0_lm17                    17   81.8   1123    128     22.2      101.8
  t2_r1.125_s0_md33_sn0_lm17                   17   82.0   1123    128     22.3      102.1
  t2_r1.5_s0_md33_sn0_lm19                     19   83.8   1123    128     21.0      102.7
  t2_r1.625_s0_md33_sn0_lm19                   19   82.1   1123    128     23.1      102.9
  t2_r1.75_s0_md33_sn0_lm17                    17   81.9   1123    128     23.6      103.1
  t2_r1.625_lm17_tmp3.0                        17   82.4   1123    128     23.3      103.3
  t2_r1.25_lm17_tmp3.0                         17   82.4   1123    128     23.5      103.5
  t2_r1.5_lm17_tmp3.0                          17   82.0   1123    128     24.1      103.7
  t2_r1.25_lm19_tmp3.0                         19   82.4   1123    128     24.2      104.1
  t2_r1.125_lm19_tmp3.0                        19   82.4   1123    128     24.5      104.4
  t2_r1.375_lm17_tmp3.0                        17   82.1   1123    128     24.9      104.5
